ekran_boyutu,ekran_kartı.1,Ekran Kartı Bellek Tipi.1,ekran_kartı_hafızası_1,ekran_karı_tipi_1,ekran_yenileme_hızı_1,marka,hard_disk_kapasitesi,klavye,kullanım_amacı,ram_sistem_bellegi_1,ram_tipi_1,renk,ssd_kapasitesi,cozunurluk_1,cozunurluk_standartı_1,islemci_modeli_1,islemci_nesli_1,islemci_tipi_1,islemci_cekirdek_sayisi_1,isletim_sistemi_1,url,prices
"15,6",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,Asus,HDD Yok,Q Türkçe,Oyun,32 GB,DDR4,Siyah,1 TB,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,12,Free Dos,https://www.trendyol.com//asus/tuf-gaming-f15-i7-12700h-32-gb-1-tb-rtx3050-15-6-fhd-144hz-free-dos-hn0091010-p-686099752?boutiqueId=61&merchantId=820455,38.935
"15,6",Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,Casper,HDD Yok,Q Türkçe + Numerik (Aydınlatmalı),Ofis - İş,64 GB,DDR4,Gri,1 TB,1920 x 1080,Full HD (FHD),1255U,12. Nesil,Intel Core i7,10,Windows,https://www.trendyol.com//casper/nirvana-c650-1255-ef00r-g-f-intel-core-i7-1255u-64gb-ram-1tb-nvme-ssd-gen4-windows-11-pro-p-740918927?boutiqueId=61&merchantId=129813,31.899
"15,6",Belirtilmemiş,Belirtilmemiş,Paylaşımlı,Dahili,60 Hz,Lenovo,256 GB,Q Türkçe,Ev - Okul,8 GB,LPDDR5,Gümüş,256 GB,1366 x 768,HD Ready (HD),7320U,7. Nesil,AMD Ryzen 3,4,Free Dos,https://www.trendyol.com//lenovo/ideapad-82vg0088tx-amd-ryzen-3-7320u-8gb-256gb-ssd-freedos-15-6-hd-p-679851202?boutiqueId=61&merchantId=140418,9.69
"15,6",Nvidia GeForce MX450,DDR5,2 GB,Harici,60 Hz,ACER,256 GB,Q Türkçe (Aydınlatmasız),Ofis - İş,8 GB,DDR5,Gümüş,256 GB,1920 x 1080,Full HD (FHD),1135G7,11. Nesil,Intel Core i5,4,Free Dos,https://www.trendyol.com//acer/a515-56g-i5-1135g7-8gb-256gb-ssd-mx450-15-6-dos-notebook-p-751295495?boutiqueId=61&merchantId=412659,15.999
"15,6",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,Asus,HDD Yok,RGB Türkçe,Oyun,32 GB,DDR5,Gri,512 GB,1920 x 1080,Full HD (FHD),6800HS,6. Nesil,AMD Ryzen 7,8,Free Dos,https://www.trendyol.com//asus/rog-strix-g15-g513rc-hn194a3-ryzen7-6800hs-32gb-512ssd-rtx3050-15-6-fullhd-freedos-tasinabilir-p-684483621?boutiqueId=61&merchantId=106664,35.509
"15,6",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,Monster,HDD Yok,Q Türkçe + Numerik (Aydınlatmalı),Oyun,16 GB,DDR4,Siyah,500 GB,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,https://www.trendyol.com//monster/abra-a5-v20-4-intel-core-i5-12450h-16-gb-ram-500-gb-ssd-6-gb-rtx-4050-freedos-15-6-fhd-144-hz-p-760273446?boutiqueId=61&merchantId=105286,30.899
18,Nvidia GeForce RTX 4090,GDDR6X,16 GB,Harici,240 Hz,Asus,HDD Yok,RGB Türkçe,Oyun,32 GB,DDR5,Siyah,2 TB,2560 x 1600,WQXGA,13980HX,13. Nesil,Intel Core i9,24,Free Dos,https://www.trendyol.com//asus/rog-strix-scar-g18-g834jy-n6041-intel-i9-13980hx-32gb-ddr5-2tb-ssd-16gb-rtx4090-18-240hz-dos-p-661497719?boutiqueId=61&merchantId=105919,126.999
"15,6",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,MSI,HDD Yok,Q Türkçe (Aydınlatmalı),Oyun,16 GB,DDR4,Siyah,1 TB,1920 x 1080,Full HD (FHD),11800H,11. Nesil,Intel Core i7,8,Free Dos,https://www.trendyol.com//msi/gf63-thin11ud-615xtr-04-i7-11800h-16-gb-1tb-ssd-rtx3050ti-15-6-freedos-full-hd-notebook-p-742434670?boutiqueId=61&merchantId=645060,37.674
"15,6",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,MSI,HDD Yok,Q Türkçe (Aydınlatmalı),Oyun,32 GB,DDR4,Siyah,512 GB,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Windows,https://www.trendyol.com//msi/thin-gf63-12uc-666xtr-intel-core-i7-12650h-32gb-512gb-ssd-rtx3050-windows-11-pro-15-6-fhd-144hz-p-765428917?boutiqueId=61&merchantId=433266,40.189
"15,6",,,,,,Monster,HDD Yok,Q TÃ¼rkÃ§e,,,,Siyah,500 GB,,,,,,,,https://www.trendyol.com//monster/abra-a5-v17-3-1-intel-core-i7-11800h-8gb-500gb-ssd-rtx3050ti-windows-11-15-6-fhd-p-117390125?boutiqueId=61&merchantId=105286,30.699
14,M3,Dahili,Paylaşımlı,Dahili,120 Hz,Apple,HDD Yok,Q Türkçe (Aydınlatmalı),Ofis - İş,8 GB,Birleşik Bellek,Gri,512 GB,3024 x 1964,Retina,M3,3. Nesil,Apple M3,8,Mac Os,https://www.trendyol.com//apple/macbook-pro-m3-14-uzay-gri-8gb-512gb-ssd-mtl73tu-a-p-777662344?boutiqueId=61&merchantId=107870,59.999
"17,3",Nvidia GeForce RTX 4090,GDDR6,16 GB,Harici,165 Hz,HP,HDD Yok,Q Türkçe,Oyun,32 GB,DDR5,Siyah,1 TB,2560 x 1440,QHD,13900HX,13. Nesil,Intel Core i9,24,Free Dos,https://www.trendyol.com//hp/omen-laptop-17-ck2003nt-i9-13900hx-32gb-1-tb-ssd-16gb-rtx-4090-17-3-inc-qhd-165-hz-siyah-7p651ea-p-674226071?boutiqueId=61&merchantId=467452,99.999
"16,1",Nvidia GeForce RTX 4070,DDR5,Paylaşımlı,Harici,144 Hz,HP,HDD Yok,Q Türkçe (Aydınlatmasız),Oyun,16 GB,DDR5,Siyah,1 TB,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Windows,https://www.trendyol.com//hp/victus-core-i7-13700h-islemci-16gb-ram-1tb-ssd-16-1-ekran-rtx-4070-ekran-karti-win-11-gaming-lapt-p-759563225?boutiqueId=61&merchantId=257697,49.123
"15,6",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,MSI,HDD Yok,Q Türkçe (Aydınlatmalı),Oyun,16 GB,DDR4,Siyah,1 TB,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Free Dos,https://www.trendyol.com//msi/thin-gf63-12vf-405xtr-01-i7-12650h-16gb-1-tb-ssd-rtx4060-dos-15-6-fhd-144hz-bilgisayar-p-780495931?boutiqueId=61&merchantId=339221,47.999
"15,6",Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,Lenovo,HDD Yok,Q Türkçe (Aydınlatmasız),Ofis - İş,16 GB,DDR4,Gri,1 TB,1920 x 1080,Full HD (FHD),1165G7,11. Nesil,Intel Core i7,4,Free Dos,https://www.trendyol.com//lenovo/ideapad-3-i7-1165g7-16gb-1tb-ssd-15-6-fhd-fdos-tasinabilir-bilgisayar-82h803fttx-p-744793900?boutiqueId=61&merchantId=773355,20.749
"15,6",Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,Casper,HDD Yok,Q Türkçe + Numerik (Aydınlatmalı),Ofis - İş,16 GB,DDR4,Gri,1 TB,1920 x 1080,Full HD (FHD),1255U,12. Nesil,Intel Core i7,10,Free Dos,https://www.trendyol.com//casper/nirvana-c550-1255-bf00x-g-f-intel-core-i7-1255u-16gb-ram-1tb-nvme-ssd-gen4-freedos-p-740918778?boutiqueId=61&merchantId=129813,19.499
"13,3",Intel XE Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,Asus,HDD Yok,Q Türkçe (Aydınlatmalı),Ofis - İş,16 GB,DDR4,Gri,512 GB,1920 x 1080,Full HD (FHD),1135G7,11. Nesil,Intel Core i5,8,Free Dos,https://www.trendyol.com//asus/ux325ea-kg262-zenbook-13-oled-i5-1135g7-16gb-512gb-ssd-13-3-freedos-tasinabilir-bilgisayar-p-763112174?boutiqueId=61&merchantId=125175,34.999
16,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,Asus,HDD Yok,Q Türkçe (RGB Aydınlatmalı),Oyun,8 GB,DDR5,Gri,512 GB,1920 x 1200,FHD+,13650HX,13. Nesil,Intel Core i7,14,Free Dos,https://www.trendyol.com//asus/rog-strix-g16-g614jva9-n3159a9-intel-core-i7-13650hx-8gb-512gb-ssd-rtx4060-freedos-16-p-753788438?boutiqueId=61&merchantId=155616,51.269
"15,6",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,Asus,HDD Yok,Q Türkçe,Oyun,32 GB,DDR4,Gri,2 TB,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Windows,https://www.trendyol.com//asus/tuf-gaming-f15-intel-i7-12700h-32gb-ddr4-2tb-ssd-4gb-rtx3050-15-6-fhd-144hz-w11-pro-fx507zc4-h-p-783831385?boutiqueId=61&merchantId=109354,35.96
"15,6",Nvidia GeForce MX350,GDDR5,2 GB,Harici,60 Hz,Dell,HDD Yok,Q Türkçe + Numerik (Aydınlatmalı),Tasarım,16 GB,DDR4,Siyah,1 TB,1920 x 1080,Full HD (FHD),1135G7,11. Nesil,Intel Core i5,4,Linux,https://www.trendyol.com//dell/nb-vostro-3510-n8064vn3510-u01-i5-1135g7-16gb-1tb-mx350-15-6-ubuntu-p-748042040?boutiqueId=61&merchantId=109239,19.399
"16,1",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,HP,HDD Yok,Q Türkçe (RGB Aydınlatmalı),Oyun,32 GB,DDR5,Siyah,1 TB,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,https://www.trendyol.com//hp/victus-16-r0020nta38-intel-core-i7-13700h-32gb-1tb-ssd-rtx4060-freedos-16-1-7p637eaa38-p-739157778?boutiqueId=61&merchantId=155616,45.354
18,Nvidia GeForce RTX 4090,GDDR6,16 GB,Harici,240 Hz,Asus,HDD Yok,RGB Türkçe,Oyun,32 GB,DDR5,Siyah,2 TB,2560 x 1600,QHD,13980HX,13. Nesil,Intel Core i9,8,Free Dos,https://www.trendyol.com//asus/rog-strix-scar-18-g834jy-n6040-intel-i9-13980hx-32gb-2tb-ssd-16gb-rtx4090-18-inc-qhd-240hz-p-641763535?boutiqueId=61&merchantId=118442,122.999
"15,6",Intel Iris Graphics,Dahili,Paylaşımlı,Harici,60 Hz,Lenovo,HDD Yok,Q Türkçe (Aydınlatmasız),Ofis - İş,16 GB,DDR4,Siyah,512 GB,1920 x 1080,Full HD (FHD),1165G7,11. Nesil,Intel Core i7,4,Free Dos,https://www.trendyol.com//lenovo/v15-i7-1165g7-16gb-512gb-ssd-15-6-fhd-fdos-tasinabilir-bilgisayar-82kb00cdtx-p-744762084?boutiqueId=61&merchantId=668896,20.097
"15,6",Nvidia GeForce RTX 3050,GDDR6,6 GB,Harici,120 Hz,Dell,HDD Yok,Q Türkçe (Aydınlatmalı),Oyun,16 GB,DDR5,Siyah,512 GB,1920 x 1080,Full HD (FHD),Belirtilmemiş,13. Nesil,Intel Core i5,10,Linux,https://www.trendyol.com//dell/g15-5530-i5-13450hx-16gb-512gb-ssd-6gb-rtx3050-15-6-fhd-120hz-uyumlu-g155530240102u16gb-p-760914552?boutiqueId=61&merchantId=105378,28.409
"15,6",Intel Iris Graphics,DDR4,2 GB,Harici,Belirtilmemiş,Lenovo,HDD Yok,Q Türkçe,Ofis - İş,8 GB,DDR4,Gri,512 GB,1920 x 1080,Full HD (FHD),1135G7,Belirtilmemiş,Intel Core i5,Belirtilmemiş,Windows,https://www.trendyol.com//lenovo/ideapad-3-15itl6-intel-core-i5-1135g7-8gb-512gb-ssd-notebook-82h802c5tx-p-329305308?boutiqueId=61&merchantId=880551,16.999
"15,6",,,,,,Lenovo,HDD Yok,Q TÃ¼rkÃ§e,,,,Gri,256 GB,,,,,,,,https://www.trendyol.com//lenovo/thinkbook-15-g2-itl-i5-1135g7-8gb-256gb-ssd-mx450-15-6-fhd-freedos-20ve0071tx-p-92876857?boutiqueId=61&merchantId=104683,16.799
"15,6",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,Monster,HDD Yok,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,16 GB,DDR4,Siyah,1 TB,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Windows,https://www.trendyol.com//monster/tulpar-t5-v23-2-1-intel-core-i7-12650h-16-gb-ram-1-tb-ssd-8-gb-rtx-4060-windows-11-15-6-fhd-144-hz-p-745868617?boutiqueId=61&merchantId=105286,40.499
16,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,240 Hz,ACER,HDD Yok,Q Türkçe (RGB Aydınlatmalı),Oyun,32 GB,DDR5,Siyah,1 TB,2560 x 1600,WQXGA,13900HX,13. Nesil,Intel Core i9,24,Free Dos,https://www.trendyol.com//acer/predator-ph16-i9-13900hx-32-gb-1tb-ssd-rtx-4070-8-gb-freedos-16-wqxga-notebook-nh-qjrey-001-p-743600188?boutiqueId=61&merchantId=107007,67.999
"15,6",Nvidia GeForce MX350,GDDR5,2 GB,Harici,Belirtilmemiş,Lenovo,HDD Yok,Q Türkçe,Ofis - İş,8 GB,DDR4,Siyah,2 TB,1920 x 1080,Full HD (FHD),1135G7,11. Nesil,Intel Core i5,4,Free Dos,https://www.trendyol.com//lenovo/v15-g2-i5-1135g7-8gb-2tb-ssd-2gb-mx350-fdos-15-6-fhd-tasinabilir-bilgisayar-82kb00gqtx-p-520598664?boutiqueId=61&merchantId=668896,25.839
"13,3",Intel Iris Graphics,SD,Paylaşımlı,Dahili,60 Hz,Lenovo,HDD Yok,Q Türkçe (Aydınlatmasız),Ofis - İş,8 GB,DDR5,Gri,256 GB,2560 x 1600,WQXGA,1235U,12. Nesil,Intel Core i5,10,Free Dos,https://www.trendyol.com//lenovo/thinkbook-13x-21at002ktx-notebook-kablosuz-mouse-lecoo-ew305-kablosuz-kulaklik-hediyeli-p-788173827?boutiqueId=61&merchantId=108574,21.999
16,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,120 Hz,Asus,1 TB,Q Türkçe,Tasarım,32 GB,DDR5,Gri,1 TB,3200 x 2000,FHD+,13700HX,13. Nesil,Intel Core i7,16,Windows,https://www.trendyol.com//asus/vivobook-pro-16x-oled-13-nesil-core-i7-13700hx-rtx4070-8gb-32gb-1tb-16-w11-p-779236880?boutiqueId=61&merchantId=624588,79.524
"15,6",Intel HD Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,Asus,HDD Yok,Q Türkçe (Aydınlatmasız),Ev - Okul,8 GB,DDR4,Gri,256 GB,1920 x 1080,Full HD (FHD),1235U,12. Nesil,Intel Core i5,10,Windows,https://www.trendyol.com//asus/vivobook-x1502za-ej030w07-15-intel-core-i5-1235u-16gb-1tb-ssd-windows-11-home-15-6-fhd-p-752809118?boutiqueId=61&merchantId=221481,17.399
16,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,240 Hz,MSI,HDD Yok,Q Türkçe (Aydınlatmalı),Oyun,16 GB,DDR5,Mavi,1 TB,2560 x 1600,QHD,13700H,13. Nesil,Intel Core i7,14,Windows,https://www.trendyol.com//msi/stealth-16-studio-a13vf-071tr-i7-13700h-16gb-ddr5-1tb-ssd-8gb-rtx4060-240hz-16-qhd-w11-gaming-p-686062505?boutiqueId=61&merchantId=105013,73.699
14,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,60 Hz,Lenovo,1 TB,Q Türkçe (Aydınlatmasız),Ofis - İş,12 GB,DDR4,Gri,256 GB,1920 x 1080,Full HD (FHD),1115G4,11. Nesil,Intel Core i3,4,Windows,https://www.trendyol.com//lenovo/1115g4-core-i3-1tb-hdd-256gb-m2-ssd-12-gb-ram-fhd-w11-p-769172020?boutiqueId=61&merchantId=873610,19.5
"15,6",Nvidia GeForce RTX3060,GDDR6,4 GB,Harici,120 Hz,Lenovo,HDD Yok,RGB Türkçe,Oyun,16 GB,DDR4,Gri,1 TB,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,https://www.trendyol.com//lenovo/ideapad-gaming-3-82s90140tx-intel-core-i5-12450h-16gb-1tb-ssd-rtx3060-6gd6-15-6-fhd-freedos-p-689278581?boutiqueId=61&merchantId=316311,30.909
16,Nvidia GeForce RTX 3050,GDDR6,4 GB,Dahili,120 Hz,Lenovo,HDD Yok,Q Türkçe,Oyun,8 GB,DDR5,Gri,512 GB,1920 x 1200,Full HD (FHD),6600H,11. Nesil,AMD Ryzen 5,6,Windows,https://www.trendyol.com//lenovo/ideapad-gaming-3-ryzen-5-6600h-8gb-ram-512gb-ssd-4gb-rtx-3050-16-w11-82sc0032tx-laptop-gri-p-650522578?boutiqueId=61&merchantId=347216,28.899
"15,6",Intel UHD Graphics,SD,Paylaşımlı,Dahili,60 Hz,Lenovo,HDD Yok,Q Türkçe (Aydınlatmasız),Ev - Okul,4 GB,DDR4,Siyah,256 GB,1920 x 1080,Full HD (FHD),1135G7,11. Nesil,Intel Core i3,4,Free Dos,https://www.trendyol.com//lenovo/v15-g2-intel-core-i3-1115g4-8-gb-256-ssd-15-6-fhd-freedos-tasinabilir-bilgisayar-82kb019htx-p-696817731?boutiqueId=61&merchantId=107007,9.999
"15,6",Intel Iris Pro Graphics,GDDR5X,8 GB,Dahili,120 Hz,Casper,256 GB,Q Türkçe,Ofis - İş,32 GB,LPDDR4X,Siyah,1 TB,1920 x 1280,Full HD (FHD),1000M,13. Nesil,Intel Xeon,16,Free Dos,https://www.trendyol.com//casper/nirvana-15-6-gri-c600-1155-bv00x-g-f-i5-1155g7-16gb-500gb-ssd-iris-plus-g7-freedos-notebook-p-783424440?boutiqueId=61&merchantId=814607,16.999
"15,6",Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,Dell,HDD Yok,Q Türkçe + Numerik (Aydınlatmasız),Ofis - İş,16 GB,DDR4,Siyah,256 GB,1920 x 1080,Full HD (FHD),1135G7,11. Nesil,Intel Core i5,4,Windows,https://www.trendyol.com//dell/inspiron-15-3520-i5-1135g7-16gb-ram-256gb-ssd-15-6-inc-fhd-w11-home-i35112009um18-p-764176514?boutiqueId=61&merchantId=646501,15.0
16,Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,Asus Garantili,512 GB,Q İngilizce,Oyun,16 GB,DDR4,Siyah,512 GB,1920 x 1200,WUXGA,11800H,11. Nesil,Intel Core i7,8,Windows,https://www.trendyol.com//asus/rog-zephyurs-gu603he-i7-11800h-16gb-512gb-ssd-rtx3050ti-win10-16-wuxga-tasinabilir-bilgisayar-p-264018709?boutiqueId=61&merchantId=131385,45.974
"15,6",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,Lenovo,HDD Yok,Q Türkçe (RGB Aydınlatmalı),Ofis - İş,16 GB,DDR5,Gri,1 TB,1920 x 1080,Full HD (FHD),13620H,13. Nesil,Intel Core i7,10,Free Dos,https://www.trendyol.com//lenovo/loq-intel-core-i7-13620h-16gb-1tb-ssd-rtx4060-freedos-15-6-ips-tasinabilir-bilgisayar-p-772516761?boutiqueId=61&merchantId=503378,48.499
"17,3",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,MSI,HDD Yok,Q Türkçe,Oyun,16 GB,DDR4,Siyah,1 TB,1920 x 1080,Full HD (FHD),11800H,11. Nesil,Intel Core i7,Belirtilmemiş,Windows,https://www.trendyol.com//msi/katana-gf76-11ud-070tr-i7-11800h-16gb-ddr4-rtx3050ti-gddr6-4gb-1tb-ssd-17-3-fhd-144hz-w10-p-349160031?boutiqueId=61&merchantId=230276,59.949
"15,6",Nvidia GeForce RTX 3050,GDDR6,6 GB,Harici,144 Hz,HP,HDD Yok,Q Türkçe + Numerik (Aydınlatmalı),Oyun,8 GB,DDR4,Mavi,512 GB,1920 x 1080,Full HD (FHD),660,13. Nesil,Intel Core i5,12,Free Dos,https://www.trendyol.com//hp/victus-7p8l0ea-i5-13500h-8gb-512gb-ssd-rtx3050-6gd6-15-6-fhd-ips-144hz-freedos-dizustu-p-672482021?boutiqueId=61&merchantId=106740,26.599
"13,4",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,165 Hz,Asus,HDD Yok,Q Türkçe,Oyun,16 GB,DDR5,Siyah,1 TB,2560 x 1600,WQXGA,13900H,13. Nesil,Intel Core i9,14,Free Dos,https://www.trendyol.com//asus/rog-flow-z13-gz301vu-mu015-intel-i9-13900h-16gb-ddr5-1tb-ssd-6gb-rtx4050-13-4-wqxga-165hz-dos-p-670208903?boutiqueId=61&merchantId=105919,58.699
"15,6",AMD Radeon Graphics,DDR4,Paylaşımlı,Dahili,60 Hz,Lenovo,HDD Yok,Q Türkçe (Aydınlatmasız),Ofis - İş,16 GB,DDR4,Gri,256 GB,1920 x 1080,Full HD (FHD),5700U,5. Nesil,AMD Ryzen 7,8,Free Dos,https://www.trendyol.com//lenovo/ideapad-1-15alc7-ryzen-7-5700u-16-gb-256-gb-ssd-15-6-fhd-freedos-82r4006etr-bt2-p-770273861?boutiqueId=61&merchantId=109239,12.699
"15,6",Nvidia GeForce GTX 1650,Belirtilmemiş,4 GB,Harici,144 Hz,Asus,HDD Yok,Q Türkçe,Ofis - İş,32 GB,DDR4,Siyah,1 TB,1920 x 1080,Full HD (FHD),10300H,10. Nesil,Intel Core i5,4,Windows,https://www.trendyol.com//asus/tuf-gaming-intel-core-i5-10300h-32gb-1tb-ssd-gtx1650-windows-11-pro-15-6-fx506lhb-hn347wp08-p-635047660?boutiqueId=61&merchantId=481559,29.199
"15,6",Intel Iris Pro Graphics,GDDR5X,8 GB,Dahili,120 Hz,Casper,256 GB,Q Türkçe,Ofis - İş,32 GB,LPDDR4X,Gri,1 TB,1920 x 1280,Full HD (FHD),1000M,13. Nesil,Intel Xeon,16,Free Dos,https://www.trendyol.com//casper/nirvana-15-6-gri-c600-1155-bv00x-g-f-i5-1155g7-16gb-500gb-ssd-iris-plus-g7-freedos-notebook-p-781423566?boutiqueId=61&merchantId=162201,16.666
18,Nvidia GeForce MX450,Dahili,2 GB,Harici,90 Hz,ACER,500 GB,Q Türkçe + Numerik (Aydınlatmalı),Ev - Okul,36 GB,LPDDR3,Beyaz,32 GB,4480 x 2520,Ultra HD 4K (UHD),4800HS,5. Nesil,MediaTek P60T,10,Windows,https://www.trendyol.com//lenovo/ideapad-3-82h802f4tx-i3-1115g4-8gb-256gb-ssd-15-6-full-hd-freedos-tasinabilir-bilgisayar-hc-p-766550734?boutiqueId=61&merchantId=550671,13.32
"16,1",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,HP,HDD Yok,Q Türkçe (Aydınlatmalı),Oyun,32 GB,DDR5,Siyah,1 TB,1920 x 1080,Full HD (FHD),7840HS,7. Nesil,AMD Ryzen 7,8,Free Dos,https://www.trendyol.com//hp/victus-16-s0051nt-892p9ea-6gb-rtx4050-ryzen-7-7840hs-32gb-ram-1tb-ssd-16-1-inc-fhd-144hz-p-742789057?boutiqueId=61&merchantId=118442,37.999
"15,6",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,Casper,HDD Yok,Q Türkçe (RGB Aydınlatmalı),Oyun,32 GB,DDR4,Metalik,1 TB,1920 x 1080,Full HD (FHD),13420H,13. Nesil,Intel Core i5,8,Windows,https://www.trendyol.com//casper/excalibur-g870-1342-dfb0p-b-intel-core-i5-13420h-32gb-ram-1tb-nvme-ssd-gen4-8gb-rtx4060-windows-11-p-778685699?boutiqueId=61&merchantId=114258,39.299
"15,6",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,Asus,HDD Yok,Q Türkçe,Oyun,8 GB,DDR5,Gri,512 GB,1920 x 1080,Full HD (FHD),7735HS,7. Nesil,AMD Ryzen 7,8,Free Dos,https://www.trendyol.com//asus/tuf-gaming-a15-ryzen-7-7735hs-8gb-512gb-ssd-6gb-rtx4050-15-6-fhd-144hz-freedos-fa507nu-lp051-p-780867089?boutiqueId=61&merchantId=114271,33.949
"15,6",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,Asus,HDD Yok,Q Türkçe (Aydınlatmalı),Oyun,32 GB,DDR5,Gri,512 GB,1920 x 1080,Full HD (FHD),7735HS,7. Nesil,AMD Ryzen 7,8,Free Dos,https://www.trendyol.com//asus/tuf-gaming-a15-fa507nu-lp05132-ryzen-7-7735hs-32gb-512gb-ssd-rtx4050-freedos-15-6-fhd-p-780568351?boutiqueId=61&merchantId=106934,33.619
"15,6",Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,Asus,HDD Yok,Q Türkçe + Numerik (Aydınlatmasız),Ev - Okul,16 GB,DDR4,Gümüş,512 GB,1920 x 1080,Full HD (FHD),1235U,12. Nesil,Intel Core i5,12,Free Dos,https://www.trendyol.com//asus/vivobook-x1502za-ej1066as-ci5-1235u-16gb-512gb-freedos-15-6-fhd-p-736769751?boutiqueId=61&merchantId=876380,16.099
14,Intel Iris Graphics,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,Asus,512 GB,Q Türkçe,Ev - Okul,16 GB,DDR5,Mavi,SSD Yok,2880 x 1800,FHD+,Belirtilmemiş,12. Nesil,Intel Core i5,12,Windows,https://www.trendyol.com//asus/zenbook-14-oled-ux3402-12-nesil-core-i5-1240p-16gb-512gb-ssd-14inc-w11-p-347145445?boutiqueId=61&merchantId=141868,46.2
"15,6",Nvidia GeForce RTX 3050 Ti,Belirtilmemiş,4 GB,Harici,144 Hz,ACER,HDD Yok,Q Türkçe,Oyun,8 GB,Belirtilmemiş,Çok Renkli,512 GB,1920 x 1080,Full HD (FHD),12500H,Belirtilmemiş,Intel Core i5,Belirtilmemiş,Windows,https://www.trendyol.com//acer/nitro-5-an515-58-nh-qfley-001-i5-12500h-8gb-512gb-ssd-4gb-rtx-3050-ti-144hz-15-6-fhd-win11-ga-p-661912258?boutiqueId=61&merchantId=219866,27.999
"15,6",Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,144 Hz,Monster,HDD Yok,Q Türkçe + Numerik (Aydınlatmalı),Oyun,32 GB,DDR4,Siyah,1 TB,1920 x 1080,Full HD (FHD),11800H,11. Nesil,Intel Core i7,8,Windows,https://www.trendyol.com//monster/abra-a5-v17-4-3-intel-core-i7-11800h-32gb-ram-1-tb-ssd-rtx-3060-windows-11-15-6-inc-fhd-144-hz-p-785888050?boutiqueId=61&merchantId=344569,36.999
"15,6",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,ACER,HDD Yok,Q Türkçe,Oyun,8 GB,DDR4,Siyah,1 TB,1920 x 1080,Full HD (FHD),11400H,11. Nesil,Intel Core i5,6,Free Dos,https://www.trendyol.com//acer/nitro-5-an515-57-intel-core-i5-11400h-8gb-1tb-ssd-rtx3050-freedos-15-6-fhd-tasinabilir-bilgisa-p-780075735?boutiqueId=61&merchantId=106740,22.199
